,Month,Consumption,Tallinn,Tartu,Narva,Pärnu,Kohtla-Järve,Viljandi,Maardu,Rakvere,Saaremaa,Sillamäe,Valga,Võru,Jõhvi,Keila,Others
0,January,864,418.41,87.25,51.0,37.8,31.98,16.11,14.59,14.3,12.35,11.67,11.49,11.01,10.06,9.62,126.36
1,February,807,390.81,81.5,47.63,35.31,29.87,15.05,13.63,13.36,11.53,10.9,10.73,10.28,9.4,8.99,118.02
2,March,824,399.04,83.21,48.63,36.05,30.49,15.36,13.91,13.64,11.77,11.13,10.96,10.5,9.6,9.17,120.51
3,April,699,338.51,70.59,41.26,30.58,25.87,13.03,11.8,11.57,9.99,9.44,9.3,8.91,8.14,7.78,102.23
4,May,663,321.07,66.95,39.13,29.01,24.54,12.36,11.2,10.98,9.47,8.96,8.82,8.45,7.72,7.38,96.96
5,June,596,288.63,60.19,35.18,26.08,22.06,11.11,10.06,9.87,8.52,8.05,7.93,7.59,6.94,6.64,87.16
6,July,603,292.02,60.89,35.59,26.38,22.32,11.24,10.18,9.98,8.62,8.15,8.02,7.68,7.02,6.71,88.19
7,August,631,305.58,63.72,37.24,27.61,23.35,11.76,10.65,10.45,9.02,8.53,8.39,8.04,7.35,7.03,92.28
8,September,646,312.84,65.24,38.13,28.27,23.91,12.04,10.91,10.69,9.23,8.73,8.59,8.23,7.52,7.19,94.48
9,October,726,351.58,73.32,42.85,31.77,26.87,13.54,12.26,12.02,10.37,9.81,9.66,9.25,8.45,8.08,106.18
10,November,781,378.22,78.87,46.1,34.17,28.9,14.56,13.19,12.93,11.16,10.55,10.39,9.95,9.1,8.7,114.22
11,December,835,404.37,84.32,49.28,36.54,30.9,15.57,14.1,13.82,11.93,11.28,11.11,10.64,9.72,9.3,122.12
